game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,1,20.766,11.83,-0.985,33.83,-40.766,-0.985,,,,,,,kickoff_start
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,0,18.346,-26.081,-0.908,48.238,-1.879,-0.885,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,0,31.039,-7.261,0.41,31.223,10.517,-0.096,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,1,31.829,-1.791,-0.161,25.771,11.656,-0.179,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,0,31.861,-1.332,-0.306,24.684,11.777,-0.072,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,1,31.891,-0.774,0.028,23.723,11.847,0.652,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,0,31.898,-0.713,-0.512,23.299,11.88,0.493,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,1,31.913,-0.496,-0.418,22.9,11.901,0.634,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,0,31.925,-0.453,-0.375,22.673,11.913,0.814,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,1,31.937,-0.29,-0.301,22.508,11.926,0.796,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-20.0,0.0,attacker,0,31.939,-0.223,-0.19,22.437,11.924,0.906,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-19.9,0.0,attacker,1,31.937,-0.329,-0.273,22.366,12.031,0.647,,,,,,,
0.0,Unknown,4,RedTeam,,22.0,-19.8,0.0,attacker,0,31.899,-0.538,-1.029,22.31,12.112,-0.621,,,,,,,
