game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,0,,,,,,,,,,,,,kickoff_start
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,0,20.588,9.001,-3.559,19.816,-0.643,-3.701,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,1,22.54,2.939,-0.631,12.088,-2.692,-0.998,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,0,22.704,1.264,-0.22,10.206,-2.724,-0.284,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,1,22.735,0.008,-0.496,9.34,-2.678,-0.248,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,0,22.732,-0.201,-0.576,9.357,-2.681,0.051,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,1,22.737,-0.282,-0.25,9.431,-2.677,0.614,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,0,22.739,-0.234,-0.087,9.512,-2.677,0.813,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,1,22.74,-0.147,0.024,9.569,-2.676,0.929,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,0,22.729,-0.064,0.15,9.592,-2.665,0.994,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,20.0,0.0,attacker,1,22.728,0.103,0.258,9.602,-2.663,1.038,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.9,0.0,attacker,0,22.698,0.075,0.274,9.621,-2.737,0.972,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.8,0.0,attacker,1,22.647,-0.186,1.203,9.675,-2.8,1.364,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.7,0.0,attacker,0,22.618,0.11,0.999,9.647,-2.893,0.553,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.6,0.0,attacker,1,22.618,0.284,-0.126,9.637,-2.947,-1.195,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.5,0.0,attacker,0,22.559,-0.026,-0.714,9.613,-2.973,-1.559,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.4,0.0,attacker,1,22.5,-0.063,0.039,9.613,-3.011,-1.439,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.3,0.0,attacker,0,22.375,-0.069,1.051,9.664,-3.039,-0.982,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.2,0.0,attacker,1,22.3,-0.265,1.134,9.718,-3.09,-0.394,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.1,0.0,attacker,0,22.239,-0.285,0.655,9.795,-3.104,-0.785,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,19.0,0.0,attacker,1,22.186,-0.019,0.434,9.978,-3.103,-1.676,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.9,0.0,attacker,0,22.111,-0.417,-0.833,10.043,-3.085,-2.342,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.8,0.0,attacker,1,22.05,-0.42,-1.252,10.347,-3.169,-2.212,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.7,0.0,attacker,0,21.991,-0.214,-0.587,10.539,-3.254,-1.345,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.6,0.0,attacker,1,21.892,-0.187,0.577,10.627,-3.286,-0.694,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.5,0.0,attacker,0,21.785,-0.184,1.027,10.721,-3.308,-0.131,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.4,0.0,attacker,1,21.748,-0.08,0.319,10.766,-3.347,-0.313,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.3,0.0,attacker,0,21.633,0.186,1.058,10.797,-3.345,-0.782,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.2,0.0,attacker,1,21.601,0.324,-0.536,10.8,-3.33,-1.848,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.1,0.0,attacker,0,21.52,-0.049,-1.14,10.777,-3.353,-2.028,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,18.0,0.0,attacker,1,21.474,-0.037,-0.506,10.795,-3.438,-1.332,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.9,0.0,attacker,0,21.39,0.083,0.072,10.816,-3.473,-0.837,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.8,0.0,attacker,1,21.247,0.063,1.177,10.869,-3.478,-0.267,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.7,0.0,attacker,0,21.188,0.009,0.726,10.89,-3.5,-0.05,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.6,0.0,attacker,1,21.128,0.129,0.686,10.921,-3.529,-0.664,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.5,0.0,attacker,0,21.056,0.366,0.198,10.929,-3.516,-1.356,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.4,0.0,attacker,1,20.993,0.048,-1.071,10.853,-3.513,-2.111,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.3,0.0,attacker,0,20.932,-0.106,-0.853,10.901,-3.569,-1.835,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.2,0.0,attacker,1,20.87,0.0,-0.124,10.924,-3.645,-1.01,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.1,0.0,attacker,0,20.76,-0.011,0.657,10.93,-3.657,-0.725,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,17.0,0.0,attacker,1,20.669,-0.043,0.928,10.993,-3.69,-0.037,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.9,0.0,attacker,0,20.601,0.017,0.614,10.995,-3.705,-0.467,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.8,0.0,attacker,1,20.546,0.323,0.28,11.068,-3.701,-1.414,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.7,0.0,attacker,0,20.473,0.108,-0.84,10.985,-3.695,-1.968,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.6,0.0,attacker,1,20.421,-0.093,-0.87,11.032,-3.758,-1.825,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.5,0.0,attacker,0,20.356,-0.008,-0.418,11.019,-3.823,-1.224,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.4,0.0,attacker,1,20.253,0.064,0.544,11.064,-3.847,-0.718,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.3,0.0,attacker,0,20.136,0.034,0.984,11.119,-3.859,-0.134,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.2,0.0,attacker,1,20.107,0.105,0.351,11.133,-3.906,-0.373,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.1,0.0,attacker,0,19.998,0.346,0.864,11.15,-3.904,-0.796,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,16.0,0.0,attacker,1,19.968,0.237,-0.659,11.036,-3.9,-1.788,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.9,0.0,attacker,0,19.892,-0.078,-1.061,11.039,-3.931,-1.877,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.8,0.0,attacker,1,19.845,-0.01,-0.423,11.051,-4.017,-1.152,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.7,0.0,attacker,0,19.759,0.057,0.168,11.061,-4.046,-0.755,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.6,0.0,attacker,1,19.628,0.072,1.121,11.148,-4.059,-0.163,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.5,0.0,attacker,0,19.57,0.096,0.625,11.179,-4.079,-0.025,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.4,0.0,attacker,1,19.504,0.249,0.743,11.172,-4.11,-0.604,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.3,0.0,attacker,0,19.446,0.409,-0.022,11.113,-4.101,-1.378,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.2,0.0,attacker,1,19.384,0.064,-1.006,10.994,-4.116,-1.909,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.1,0.0,attacker,0,19.326,-0.069,-0.737,11.043,-4.173,-1.612,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,15.0,0.0,attacker,1,19.259,0.067,-0.158,11.051,-4.242,-0.838,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.9,0.0,attacker,0,19.149,0.096,0.643,11.07,-4.251,-0.578,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.8,0.0,attacker,1,19.054,0.05,0.995,11.146,-4.28,0.042,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.7,0.0,attacker,0,19.002,0.162,0.522,11.143,-4.306,-0.355,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.6,0.0,attacker,1,18.933,0.383,0.327,11.148,-4.302,-1.186,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.5,0.0,attacker,0,18.877,0.177,-0.673,11.052,-4.312,-1.712,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.4,0.0,attacker,1,18.823,-0.049,-0.805,11.062,-4.365,-1.684,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.3,0.0,attacker,0,18.757,0.002,-0.358,11.054,-4.425,-1.153,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.2,0.0,attacker,1,18.655,0.094,0.404,11.095,-4.446,-0.732,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.1,0.0,attacker,0,18.546,0.075,0.946,11.152,-4.469,-0.191,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,14.0,0.0,attacker,1,18.505,0.12,0.413,11.15,-4.507,-0.334,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.9,0.0,attacker,0,18.407,0.329,0.86,11.201,-4.512,-0.802,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.8,0.0,attacker,1,18.379,0.244,-0.59,11.081,-4.503,-1.786,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.7,0.0,attacker,0,18.313,-0.069,-0.999,11.069,-4.544,-1.879,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.6,0.0,attacker,1,18.266,-0.016,-0.367,11.093,-4.633,-1.166,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.5,0.0,attacker,0,18.179,0.066,0.169,11.146,-4.663,-0.781,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.4,0.0,attacker,1,18.053,0.06,0.984,11.182,-4.678,-0.173,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.3,0.0,attacker,0,18.001,0.107,0.557,11.234,-4.709,-0.02,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.2,0.0,attacker,1,17.93,0.288,0.789,11.24,-4.735,-0.709,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.1,0.0,attacker,0,17.882,0.444,-0.283,11.171,-4.72,-1.579,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,13.0,0.0,attacker,1,17.819,0.028,-1.046,11.081,-4.754,-1.85,,,,,,,
0.0,Unknown,8,RedTeam,,11.0,12.9,0.0,attacker,0,17.765,-0.036,-0.725,11.091,-4.823,-1.427,,,,,,,
