game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,0,,,,,,,,,,,,,kickoff_start
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,0,24.306,23.354,-4.049,50.6,-4.513,-4.253,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,1,33.029,7.668,-1.243,32.023,-13.59,-1.59,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,0,33.795,3.02,-0.139,26.922,-13.923,-0.371,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,1,33.923,0.178,-0.675,24.711,-13.814,-0.264,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,0,33.923,-0.131,-0.694,24.688,-13.813,0.14,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,1,33.918,-0.343,-0.166,24.755,-13.793,1.018,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,0,33.918,-0.338,0.028,24.761,-13.785,1.266,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,1,33.909,-0.231,0.16,24.871,-13.777,1.452,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,0,33.908,-0.12,0.36,24.893,-13.771,1.614,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,20.0,0.0,attacker,1,33.896,0.13,0.515,24.957,-13.765,1.629,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.9,0.0,attacker,0,33.874,0.152,0.642,24.962,-13.843,1.691,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.8,0.0,attacker,1,33.803,-0.165,2.127,25.081,-13.893,2.47,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.7,0.0,attacker,0,33.838,0.277,0.863,24.926,-14.049,0.47,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.6,0.0,attacker,1,33.827,0.378,-1.453,24.957,-14.033,-2.98,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.5,0.0,attacker,0,33.782,-0.146,-1.79,24.915,-14.081,-3.181,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.4,0.0,attacker,1,33.766,-0.206,0.495,24.894,-14.207,-2.052,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.3,0.0,attacker,0,33.622,-0.302,2.126,25.071,-14.295,-0.702,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.2,0.0,attacker,1,33.561,-0.527,2.241,25.319,-14.367,0.354,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.1,0.0,attacker,0,33.519,-0.292,2.164,25.48,-14.402,-1.359,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,19.0,0.0,attacker,1,33.563,-0.979,-0.44,25.68,-14.199,-4.703,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,18.9,0.0,attacker,0,33.433,-1.071,-2.592,26.268,-14.309,-4.614,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,18.8,0.0,attacker,1,33.475,-0.637,-1.392,27.047,-14.575,-2.976,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,18.7,0.0,attacker,0,33.428,-0.352,0.01,27.292,-14.7,-1.41,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,18.6,0.0,attacker,1,33.292,-0.291,1.937,27.549,-14.749,0.197,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,18.5,0.0,attacker,0,33.221,-0.227,1.975,27.691,-14.769,0.847,,,,,,,
0.0,Unknown,1,RedTeam,,27.5,18.4,0.0,attacker,1,33.213,0.342,1.52,27.74,-14.805,-1.707,,,,,,,
