game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,0,,,,,,,,,,,,,kickoff_start
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,0,18.135,-13.331,-3.382,24.502,-1.993,-3.39,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,1,22.195,-4.896,-0.282,17.295,1.822,-0.897,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,0,22.681,-1.608,-0.27,14.174,2.514,-0.405,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,1,22.729,-0.929,-0.286,12.925,2.667,-0.286,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,0,22.737,-0.724,-0.283,12.398,2.707,-0.001,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,1,22.758,-0.52,-0.517,11.876,2.753,0.132,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,0,22.762,-0.49,-0.358,11.651,2.758,0.357,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,1,22.777,-0.306,-0.211,11.335,2.77,0.568,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,0,22.778,-0.239,-0.16,11.266,2.77,0.62,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-20.0,0.0,attacker,1,22.779,-0.151,-0.064,11.176,2.77,0.65,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.9,0.0,attacker,0,22.759,-0.198,-0.077,11.156,2.851,0.606,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.8,0.0,attacker,1,22.756,-0.298,-0.306,11.035,2.959,-0.224,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.7,0.0,attacker,0,22.699,0.022,0.239,10.959,2.995,-0.473,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.6,0.0,attacker,1,22.574,0.15,1.432,11.008,3.02,0.085,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.5,0.0,attacker,0,22.528,0.171,0.989,11.126,3.05,0.064,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.4,0.0,attacker,1,22.478,0.02,0.738,11.188,3.088,-0.191,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.3,0.0,attacker,0,22.388,0.155,0.971,11.203,3.101,-0.586,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.2,0.0,attacker,1,22.347,-0.055,0.332,11.307,3.095,-1.534,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.1,0.0,attacker,0,22.278,-0.132,-0.975,11.362,3.087,-2.218,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-19.0,0.0,attacker,1,22.196,-0.201,-1.537,11.438,3.153,-2.034,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.9,0.0,attacker,0,22.156,-0.255,-0.333,11.358,3.22,-1.279,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.8,0.0,attacker,1,22.05,-0.308,0.604,11.273,3.257,0.201,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.7,0.0,attacker,0,21.971,-0.28,0.571,11.178,3.274,0.499,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.6,0.0,attacker,1,21.898,-0.29,0.661,11.05,3.303,0.558,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.5,0.0,attacker,0,21.838,-0.097,0.244,10.956,3.339,0.212,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.4,0.0,attacker,1,21.766,-0.19,0.357,10.974,3.361,-0.629,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.3,0.0,attacker,0,21.708,-0.192,-0.215,11.015,3.382,-1.1,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.2,0.0,attacker,1,21.645,-0.045,-1.036,11.074,3.431,-1.306,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.1,0.0,attacker,0,21.571,0.005,-0.897,11.077,3.462,-1.107,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-18.0,0.0,attacker,1,21.484,-0.037,0.51,11.055,3.489,0.208,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.9,0.0,attacker,0,21.375,-0.166,0.773,11.157,3.471,0.89,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.8,0.0,attacker,1,21.306,-0.342,0.685,11.177,3.504,0.82,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.7,0.0,attacker,0,21.241,-0.079,0.599,11.07,3.535,0.804,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.6,0.0,attacker,1,21.179,0.03,0.237,11.066,3.58,0.026,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.5,0.0,attacker,0,21.092,-0.033,0.578,11.093,3.593,-0.527,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.4,0.0,attacker,1,21.045,-0.095,-0.463,11.148,3.61,-1.29,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.3,0.0,attacker,0,20.966,0.005,-1.194,11.218,3.657,-1.331,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.2,0.0,attacker,1,20.924,0.08,-0.489,11.191,3.716,-0.751,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.1,0.0,attacker,0,20.817,-0.026,0.35,11.227,3.718,0.146,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-17.0,0.0,attacker,1,20.72,-0.166,0.633,11.334,3.71,0.861,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.9,0.0,attacker,0,20.635,-0.376,0.7,11.337,3.73,0.853,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.8,0.0,attacker,1,20.587,-0.097,0.338,11.19,3.779,0.649,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.7,0.0,attacker,0,20.517,-0.025,0.356,11.177,3.819,0.12,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.6,0.0,attacker,1,20.445,-0.111,0.435,11.228,3.841,-0.574,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.5,0.0,attacker,0,20.384,-0.169,-0.47,11.286,3.853,-1.204,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.4,0.0,attacker,1,20.315,-0.057,-1.193,11.309,3.911,-1.23,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.3,0.0,attacker,0,20.255,0.059,-0.424,11.26,3.944,-0.758,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.2,0.0,attacker,1,20.144,-0.169,0.774,11.36,3.949,0.578,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.1,0.0,attacker,0,20.059,-0.21,0.629,11.377,3.948,0.875,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-16.0,0.0,attacker,1,19.983,-0.352,0.743,11.319,3.979,0.863,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.9,0.0,attacker,0,19.927,-0.12,0.303,11.208,4.018,0.659,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.8,0.0,attacker,1,19.869,-0.028,0.173,11.169,4.069,-0.138,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.7,0.0,attacker,0,19.784,-0.176,0.46,11.233,4.082,-0.515,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.6,0.0,attacker,1,19.741,-0.155,-0.562,11.276,4.111,-1.216,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.5,0.0,attacker,0,19.664,-0.073,-1.191,11.293,4.158,-1.254,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.4,0.0,attacker,1,19.61,-0.014,-0.086,11.261,4.203,-0.461,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.3,0.0,attacker,0,19.498,-0.182,0.649,11.316,4.202,0.458,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.2,0.0,attacker,1,19.422,-0.21,0.515,11.317,4.213,0.753,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.1,0.0,attacker,0,19.333,-0.318,0.734,11.289,4.229,0.85,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-15.0,0.0,attacker,1,19.299,-0.074,0.189,11.15,4.294,0.455,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.9,0.0,attacker,0,19.227,-0.016,0.317,11.153,4.329,-0.12,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.8,0.0,attacker,1,19.169,-0.154,0.104,11.222,4.352,-0.812,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.7,0.0,attacker,0,19.1,-0.138,-0.61,11.268,4.37,-1.215,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.6,0.0,attacker,1,19.037,-0.086,-1.111,11.298,4.435,-1.115,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.5,0.0,attacker,0,18.979,-0.054,-0.194,11.248,4.471,-0.529,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.4,0.0,attacker,1,18.857,-0.27,0.883,11.347,4.462,0.751,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.3,0.0,attacker,0,18.789,-0.218,0.612,11.274,4.478,0.869,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.2,0.0,attacker,1,18.723,-0.278,0.742,11.198,4.518,0.886,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.1,0.0,attacker,0,18.668,-0.091,0.275,11.118,4.561,0.559,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-14.0,0.0,attacker,1,18.609,-0.039,0.169,11.117,4.607,-0.307,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-13.9,0.0,attacker,0,18.538,-0.162,0.185,11.171,4.627,-0.675,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-13.8,0.0,attacker,1,18.49,-0.123,-0.607,11.195,4.66,-1.196,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-13.7,0.0,attacker,0,18.415,-0.09,-1.131,11.247,4.71,-1.191,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-13.6,0.0,attacker,1,18.36,-0.064,0.093,11.226,4.757,-0.26,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-13.5,0.0,attacker,0,18.23,-0.276,0.809,11.307,4.735,0.678,,,,,,,
0.0,Unknown,9,RedTeam,,11.0,-13.4,0.0,attacker,1,18.18,-0.235,0.549,11.242,4.772,0.769,,,,,,,
