game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,kickoff_start
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.05,1.461,-0.91,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.127,0.018,-0.384,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.128,-0.055,-0.258,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.13,0.089,-0.018,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.118,0.288,0.144,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.117,0.287,0.247,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.117,0.287,0.243,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.117,0.284,0.232,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.117,0.291,0.21,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,0,,,,,,,,,,,,,
0.0,Unknown,1,RedTeam,,,,,attacker,1,21.117,0.276,0.192,,,,,,,,,,
