game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,19.511,22.666,-4.74,44.388,0.243,-5.034,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,29.353,6.788,-2.827,25.819,-9.815,-3.483,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,30.137,2.48,-0.822,21.274,-10.216,-1.247,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,30.238,0.1,-0.839,19.455,-10.137,-0.593,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,30.241,-0.207,-0.724,19.49,-10.146,-0.104,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,30.237,-0.385,-0.206,19.561,-10.132,0.768,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,30.238,-0.344,-0.097,19.689,-10.136,0.97,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,30.229,-0.237,0.079,19.797,-10.128,1.15,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,30.229,-0.149,0.242,19.806,-10.123,1.277,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,30.228,0.063,0.375,19.85,-10.124,1.327,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.917,0.0,attacker,0,30.199,0.095,0.499,19.865,-10.179,1.391,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.834,0.0,attacker,1,30.133,-0.189,1.848,19.964,-10.216,2.066,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.751,0.0,attacker,0,30.148,0.259,0.931,19.898,-10.335,0.497,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.668,0.0,attacker,1,30.156,0.358,-1.153,19.872,-10.332,-2.508,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.585,0.0,attacker,0,30.103,-0.103,-1.567,19.886,-10.358,-2.756,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.502,0.0,attacker,1,30.078,-0.163,0.32,19.877,-10.442,-1.906,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.419,0.0,attacker,0,29.937,-0.214,1.833,19.971,-10.496,-0.777,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.336,0.0,attacker,1,29.873,-0.438,1.958,20.162,-10.547,0.141,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.253,0.0,attacker,0,29.821,-0.325,1.902,20.268,-10.557,-1.183,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.17,0.0,attacker,1,29.848,-0.771,-0.38,20.488,-10.369,-4.095,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.087,0.0,attacker,0,29.737,-0.853,-2.245,20.964,-10.459,-3.999,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.004,0.0,attacker,1,29.754,-0.499,-1.383,21.544,-10.67,-2.58,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.921,0.0,attacker,0,29.711,-0.328,-0.099,21.719,-10.769,-1.152,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.838,0.0,attacker,1,29.572,-0.248,1.659,21.961,-10.782,0.156,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.755,0.0,attacker,0,29.505,-0.219,1.673,22.065,-10.787,0.803,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.672,0.0,attacker,1,29.477,0.206,1.385,22.139,-10.82,-1.014,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.589,0.0,attacker,0,29.463,0.719,-0.307,22.099,-10.733,-2.98,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.506,0.0,attacker,1,29.392,-0.026,-1.854,21.852,-10.723,-3.599,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.423,0.0,attacker,0,29.357,-0.174,-1.453,21.926,-10.822,-2.953,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.34,0.0,attacker,1,29.319,0.077,0.184,21.96,-10.949,-1.35,,,,,,,
