game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,,,,,,,,,,,,,kickoff_start
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,22.113,19.418,-3.775,41.187,-2.283,-3.956,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,29.167,5.227,-1.05,24.827,-9.474,-1.562,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,29.573,2.13,-0.185,21.403,-9.641,-0.435,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,29.642,0.129,-0.688,19.871,-9.571,-0.364,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,29.64,-0.163,-0.758,19.873,-9.574,0.061,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,29.648,-0.279,-0.191,19.873,-9.559,0.932,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,29.649,-0.269,-0.031,19.968,-9.558,1.14,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,29.639,-0.176,0.119,19.982,-9.543,1.296,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,0,29.639,-0.062,0.253,20.017,-9.543,1.352,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,20.0,0.0,attacker,1,29.627,0.165,0.419,19.997,-9.527,1.435,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.919,0.0,attacker,0,29.609,0.153,0.496,20.009,-9.594,1.408,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.838,0.0,attacker,1,29.535,-0.139,1.796,20.096,-9.617,2.087,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.757,0.0,attacker,0,29.546,0.342,0.969,20.029,-9.736,0.54,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.676,0.0,attacker,1,29.55,0.371,-1.032,19.971,-9.73,-2.359,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.595,0.0,attacker,0,29.496,-0.08,-1.484,19.946,-9.748,-2.647,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.514,0.0,attacker,1,29.468,-0.134,0.288,19.95,-9.826,-1.855,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.433,0.0,attacker,0,29.341,-0.183,1.751,20.035,-9.883,-0.854,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.352,0.0,attacker,1,29.267,-0.409,1.883,20.217,-9.924,0.101,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.271,0.0,attacker,0,29.221,-0.326,1.727,20.294,-9.933,-1.084,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.19,0.0,attacker,1,29.242,-0.572,-0.347,20.499,-9.759,-3.904,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.109,0.0,attacker,0,29.13,-0.823,-2.057,20.866,-9.832,-3.818,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,19.028,0.0,attacker,1,29.13,-0.498,-1.45,21.472,-10.011,-2.709,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.947,0.0,attacker,0,29.092,-0.222,-0.174,21.664,-10.116,-1.289,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.866,0.0,attacker,1,28.958,-0.227,1.543,21.842,-10.133,-0.049,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.785,0.0,attacker,0,28.879,-0.235,1.596,21.952,-10.131,0.668,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.704,0.0,attacker,1,28.849,0.126,1.34,22.023,-10.161,-0.916,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.623,0.0,attacker,0,28.827,0.647,-0.027,22.003,-10.085,-2.686,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.542,0.0,attacker,1,28.763,0.0,-1.653,21.781,-10.061,-3.443,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.461,0.0,attacker,0,28.715,-0.191,-1.491,21.821,-10.148,-2.88,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.38,0.0,attacker,1,28.68,0.015,-0.005,21.861,-10.272,-1.264,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.299,0.0,attacker,0,28.569,0.081,1.193,21.925,-10.284,-0.79,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.218,0.0,attacker,1,28.469,-0.035,1.711,22.052,-10.301,0.258,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.137,0.0,attacker,0,28.419,0.08,1.597,22.035,-10.315,-0.829,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,18.056,0.0,attacker,1,28.426,0.208,-0.452,22.026,-10.157,-3.506,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,17.975,0.0,attacker,0,28.346,-0.417,-1.598,21.972,-10.204,-3.485,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,17.894,0.0,attacker,1,28.322,-0.336,-1.217,22.259,-10.326,-2.699,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,17.813,0.0,attacker,0,28.273,-0.143,-0.073,22.381,-10.418,-1.512,,,,,,,
0.0,Unknown,3,RedTeam,,22.0,17.732,0.0,attacker,1,28.147,-0.118,1.357,22.464,-10.443,-0.286,,,,,,,
