game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,20.887,22.994,-0.987,29.994,-0.887,-0.987,,,,,,,kickoff_start
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,19.873,7.014,-1.034,13.984,0.113,-0.96,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,20.138,6.239,-1.082,12.981,-0.225,-0.891,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,20.966,2.252,0.372,7.644,-1.08,0.074,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,21.063,1.216,-0.313,6.187,-1.084,0.076,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,21.095,0.085,-0.431,5.357,-1.036,0.122,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,21.1,-0.056,-0.134,5.33,-1.028,0.479,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,21.099,-0.085,-0.173,5.363,-1.026,0.66,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,21.1,-0.07,-0.077,5.38,-1.022,0.82,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,21.1,0.033,-0.018,5.365,-1.018,0.881,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,21.099,0.164,0.059,5.378,-1.018,0.9,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.9,0.0,attacker,1,21.089,0.077,0.239,5.364,-1.104,0.975,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.8,0.0,attacker,0,21.019,-0.23,0.923,5.417,-1.148,1.165,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.7,0.0,attacker,1,20.999,0.062,0.689,5.39,-1.246,0.337,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.6,0.0,attacker,0,20.958,0.202,0.242,5.398,-1.29,-0.61,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.5,0.0,attacker,1,20.924,-0.058,-0.5,5.431,-1.343,-1.093,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.4,0.0,attacker,0,20.85,-0.12,0.049,5.47,-1.365,-1.097,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.3,0.0,attacker,1,20.718,-0.137,1.147,5.481,-1.386,-0.592,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.2,0.0,attacker,0,20.649,-0.35,0.857,5.523,-1.412,-0.456,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.1,0.0,attacker,1,20.596,-0.27,0.316,5.683,-1.44,-0.86,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.0,0.0,attacker,0,20.499,-0.113,0.67,5.804,-1.449,-1.036,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.9,0.0,attacker,1,20.455,-0.318,-0.714,5.945,-1.456,-1.878,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.8,0.0,attacker,0,20.363,-0.425,-1.156,6.159,-1.496,-1.877,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.7,0.0,attacker,1,20.314,-0.177,-0.454,6.367,-1.585,-1.018,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.6,0.0,attacker,0,20.214,-0.224,0.426,6.433,-1.6,-0.694,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.5,0.0,attacker,1,20.096,-0.196,0.962,6.542,-1.614,-0.159,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.4,0.0,attacker,0,20.049,-0.103,0.136,6.574,-1.642,-0.35,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.3,0.0,attacker,1,19.946,0.063,0.749,6.641,-1.645,-0.681,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.2,0.0,attacker,0,19.878,0.278,-0.083,6.679,-1.639,-1.235,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.1,0.0,attacker,1,19.813,0.003,-0.813,6.656,-1.669,-1.52,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.0,0.0,attacker,0,19.743,-0.118,-0.515,6.68,-1.711,-1.197,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.9,0.0,attacker,1,19.66,0.027,-0.089,6.676,-1.745,-0.705,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.8,0.0,attacker,0,19.534,-0.019,0.794,6.706,-1.742,-0.477,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.7,0.0,attacker,1,19.458,-0.058,0.686,6.741,-1.767,-0.211,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.6,0.0,attacker,0,19.399,0.001,0.187,6.738,-1.792,-0.487,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.5,0.0,attacker,1,19.303,0.202,0.465,6.809,-1.792,-0.82,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.4,0.0,attacker,0,19.233,0.155,-0.5,6.804,-1.794,-1.316,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.3,0.0,attacker,1,19.168,-0.084,-0.669,6.83,-1.83,-1.38,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.2,0.0,attacker,0,19.098,-0.07,-0.242,6.822,-1.874,-0.977,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.1,0.0,attacker,1,18.996,-0.02,0.401,6.847,-1.888,-0.648,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.0,0.0,attacker,0,18.882,-0.035,0.828,6.872,-1.897,-0.318,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,16.9,0.0,attacker,1,18.829,-0.013,0.164,6.895,-1.925,-0.417,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,16.8,0.0,attacker,0,18.736,0.112,0.708,6.93,-1.94,-0.622,,,,,,,
