game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,20.972,-0.78,-0.388,6.011,-0.962,-0.445,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,20.926,1.632,0.019,6.972,-0.987,-0.359,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,20.983,0.531,0.0,5.69,-0.949,-0.06,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,20.997,-0.129,-0.344,5.447,-0.942,-0.113,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,21.004,-0.29,-0.433,5.495,-0.956,0.118,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,21.004,-0.344,-0.365,5.586,-0.958,0.434,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,20.999,-0.224,-0.073,5.767,-0.949,0.789,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,20.999,-0.161,-0.011,5.831,-0.951,0.825,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,1,20.99,-0.055,0.11,5.853,-0.94,0.888,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,20.0,0.0,attacker,0,20.989,0.068,0.224,5.86,-0.939,0.915,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.917,0.0,attacker,1,20.978,0.04,0.304,5.875,-1.01,0.975,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.834,0.0,attacker,0,20.909,-0.181,1.0,5.937,-1.04,1.173,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.751,0.0,attacker,1,20.899,0.095,0.679,5.909,-1.129,0.236,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.668,0.0,attacker,0,20.851,0.269,0.21,5.917,-1.143,-0.772,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.585,0.0,attacker,1,20.812,0.029,-0.585,5.883,-1.161,-1.356,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.502,0.0,attacker,0,20.743,-0.027,-0.028,5.903,-1.17,-1.326,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.419,0.0,attacker,1,20.614,0.0,1.044,5.918,-1.176,-0.834,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.336,0.0,attacker,0,20.543,-0.169,0.91,5.971,-1.195,-0.535,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.253,0.0,attacker,1,20.497,-0.222,0.286,5.995,-1.204,-0.874,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.17,0.0,attacker,0,20.401,-0.073,0.719,6.106,-1.192,-1.132,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.087,0.0,attacker,1,20.355,-0.178,-0.754,6.224,-1.176,-1.934,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,19.004,0.0,attacker,0,20.267,-0.372,-1.16,6.358,-1.189,-2.015,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.921,0.0,attacker,1,20.215,-0.173,-0.42,6.543,-1.263,-1.119,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.838,0.0,attacker,0,20.12,-0.184,0.292,6.591,-1.264,-0.822,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.755,0.0,attacker,1,19.995,-0.174,0.992,6.677,-1.262,-0.185,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.672,0.0,attacker,0,19.952,-0.123,0.231,6.705,-1.277,-0.286,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.589,0.0,attacker,1,19.854,0.097,0.797,6.791,-1.267,-0.718,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.506,0.0,attacker,0,19.801,0.302,-0.142,6.785,-1.246,-1.403,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.423,0.0,attacker,1,19.729,0.021,-0.91,6.763,-1.255,-1.667,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.34,0.0,attacker,0,19.663,-0.095,-0.643,6.793,-1.286,-1.347,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.257,0.0,attacker,1,19.58,0.058,-0.12,6.819,-1.307,-0.758,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.174,0.0,attacker,0,19.457,0.048,0.805,6.831,-1.293,-0.462,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.091,0.0,attacker,1,19.375,-0.014,0.771,6.877,-1.298,-0.102,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,18.008,0.0,attacker,0,19.321,0.047,0.305,6.849,-1.31,-0.429,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.925,0.0,attacker,1,19.234,0.272,0.416,6.903,-1.293,-0.924,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.842,0.0,attacker,0,19.174,0.134,-0.578,6.866,-1.286,-1.447,,,,,,,
0.0,Unknown,11,RedTeam,,7.0,17.759,0.0,attacker,1,19.107,-0.07,-0.707,6.903,-1.3,-1.522,,,,,,,
