game_time,play_mode,player_no,team,team_side,robot_world_x,robot_world_y,robot_world_z,role,ball_visible,ball_rel_x,ball_rel_y,ball_rel_z,ball_world_x,ball_world_y,ball_world_z,goal_rel_x,goal_rel_y,nearest_teammate_id,nearest_teammate_world_x,nearest_teammate_world_y,nearest_teammate_dist_to_ball,event
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,1,20.767,13.829,-0.985,35.829,-42.767,-0.985,,,,,,,kickoff_start
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,0,20.18,-26.335,-0.898,48.508,-2.047,-0.88,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,0,32.386,-7.151,0.502,31.246,9.855,-0.08,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,1,33.129,-1.829,-0.145,25.89,10.951,-0.214,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,0,33.15,-1.374,-0.324,24.827,11.059,-0.081,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,1,33.181,-0.788,-0.029,23.823,11.132,0.715,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,0,33.186,-0.818,-0.525,23.429,11.165,0.518,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,1,33.203,-0.504,-0.435,22.925,11.19,0.705,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,0,33.215,-0.412,-0.4,22.736,11.201,0.835,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,1,33.227,-0.29,-0.296,22.61,11.212,0.893,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-22.0,0.0,attacker,0,33.229,-0.22,-0.186,22.538,11.213,0.908,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.9,0.0,attacker,1,33.227,-0.331,-0.255,22.461,11.318,0.75,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.8,0.0,attacker,0,33.192,-0.525,-0.969,22.369,11.403,-0.546,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.7,0.0,attacker,1,33.183,-0.0,-0.695,22.142,11.459,-1.438,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.6,0.0,attacker,0,33.104,0.198,1.013,22.135,11.501,-1.101,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.5,0.0,attacker,1,32.977,0.109,2.196,22.336,11.546,0.421,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.4,0.0,attacker,0,32.942,-0.057,1.77,22.434,11.58,0.687,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.3,0.0,attacker,1,32.901,0.023,1.609,22.48,11.635,-0.363,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.2,0.0,attacker,0,32.861,-0.161,1.099,22.519,11.624,-1.845,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.1,0.0,attacker,1,32.842,-0.407,-1.009,22.644,11.566,-3.503,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-21.0,0.0,attacker,0,32.735,-0.342,-2.335,22.59,11.607,-3.685,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-20.9,0.0,attacker,1,32.707,-0.434,-2.293,22.485,11.771,-2.751,,,,,,,
0.0,Unknown,5,RedTeam,,22.0,-20.8,0.0,attacker,0,32.697,-0.406,-0.178,22.268,11.878,-1.173,,,,,,,
